,o_state_id,o_state_name,d_state_id,d_state_name,race,quintile,n
0,1,Alabama,1,Alabama,Asian,1,296
1,1,Alabama,1,Alabama,Asian,2,272
2,1,Alabama,1,Alabama,Asian,3,304
3,1,Alabama,1,Alabama,Asian,4,271
4,1,Alabama,1,Alabama,Asian,5,310
5,1,Alabama,1,Alabama,Black,1,65204
6,1,Alabama,1,Alabama,Black,2,38746
7,1,Alabama,1,Alabama,Black,3,11921
8,1,Alabama,1,Alabama,Black,4,6789
9,1,Alabama,1,Alabama,Black,5,3358
10,1,Alabama,1,Alabama,Hispanic,1,1911
11,1,Alabama,1,Alabama,Hispanic,2,1364
12,1,Alabama,1,Alabama,Hispanic,3,1174
13,1,Alabama,1,Alabama,Hispanic,4,799
14,1,Alabama,1,Alabama,Hispanic,5,549
15,1,Alabama,1,Alabama,Other,1,8549
16,1,Alabama,1,Alabama,Other,2,5134
17,1,Alabama,1,Alabama,Other,3,3153
18,1,Alabama,1,Alabama,Other,4,2264
19,1,Alabama,1,Alabama,Other,5,1304
20,1,Alabama,1,Alabama,White,1,39042
21,1,Alabama,1,Alabama,White,2,45002
22,1,Alabama,1,Alabama,White,3,57815
23,1,Alabama,1,Alabama,White,4,58034
24,1,Alabama,1,Alabama,White,5,45534
25,1,Alabama,2,Alaska,Asian,1,1
26,1,Alabama,2,Alaska,Asian,2,0
27,1,Alabama,2,Alaska,Asian,3,2
28,1,Alabama,2,Alaska,Asian,4,2
29,1,Alabama,2,Alaska,Asian,5,2
30,1,Alabama,2,Alaska,Black,1,23
31,1,Alabama,2,Alaska,Black,2,22
32,1,Alabama,2,Alaska,Black,3,12
33,1,Alabama,2,Alaska,Black,4,5
34,1,Alabama,2,Alaska,Black,5,2
35,1,Alabama,2,Alaska,Hispanic,1,3
36,1,Alabama,2,Alaska,Hispanic,2,2
37,1,Alabama,2,Alaska,Hispanic,3,2
38,1,Alabama,2,Alaska,Hispanic,4,1
39,1,Alabama,2,Alaska,Hispanic,5,3
40,1,Alabama,2,Alaska,Other,1,6
41,1,Alabama,2,Alaska,Other,2,11
42,1,Alabama,2,Alaska,Other,3,4
43,1,Alabama,2,Alaska,Other,4,4
44,1,Alabama,2,Alaska,Other,5,3
45,1,Alabama,2,Alaska,White,1,34
46,1,Alabama,2,Alaska,White,2,52
47,1,Alabama,2,Alaska,White,3,72
48,1,Alabama,2,Alaska,White,4,75
49,1,Alabama,2,Alaska,White,5,75
50,1,Alabama,4,Arizona,Asian,1,1
51,1,Alabama,4,Arizona,Asian,2,1
52,1,Alabama,4,Arizona,Asian,3,1
53,1,Alabama,4,Arizona,Asian,4,0
54,1,Alabama,4,Arizona,Asian,5,1
55,1,Alabama,4,Arizona,Black,1,95
56,1,Alabama,4,Arizona,Black,2,71
57,1,Alabama,4,Arizona,Black,3,29
58,1,Alabama,4,Arizona,Black,4,26
59,1,Alabama,4,Arizona,Black,5,13
60,1,Alabama,4,Arizona,Hispanic,1,16
61,1,Alabama,4,Arizona,Hispanic,2,6
62,1,Alabama,4,Arizona,Hispanic,3,6
63,1,Alabama,4,Arizona,Hispanic,4,13
64,1,Alabama,4,Arizona,Hispanic,5,5
65,1,Alabama,4,Arizona,Other,1,21
66,1,Alabama,4,Arizona,Other,2,21
67,1,Alabama,4,Arizona,Other,3,8
68,1,Alabama,4,Arizona,Other,4,7
69,1,Alabama,4,Arizona,Other,5,11
70,1,Alabama,4,Arizona,White,1,91
71,1,Alabama,4,Arizona,White,2,104
72,1,Alabama,4,Arizona,White,3,135
73,1,Alabama,4,Arizona,White,4,132
74,1,Alabama,4,Arizona,White,5,135
75,1,Alabama,5,Arkansas,Asian,1,3
76,1,Alabama,5,Arkansas,Asian,2,0
77,1,Alabama,5,Arkansas,Asian,3,3
78,1,Alabama,5,Arkansas,Asian,4,0
79,1,Alabama,5,Arkansas,Asian,5,1
80,1,Alabama,5,Arkansas,Black,1,73
81,1,Alabama,5,Arkansas,Black,2,53
82,1,Alabama,5,Arkansas,Black,3,14
83,1,Alabama,5,Arkansas,Black,4,6
84,1,Alabama,5,Arkansas,Black,5,11
85,1,Alabama,5,Arkansas,Hispanic,1,5
86,1,Alabama,5,Arkansas,Hispanic,2,1
87,1,Alabama,5,Arkansas,Hispanic,3,3
88,1,Alabama,5,Arkansas,Hispanic,4,7
89,1,Alabama,5,Arkansas,Hispanic,5,2
90,1,Alabama,5,Arkansas,Other,1,15
91,1,Alabama,5,Arkansas,Other,2,18
92,1,Alabama,5,Arkansas,Other,3,7
93,1,Alabama,5,Arkansas,Other,4,6
94,1,Alabama,5,Arkansas,Other,5,3
95,1,Alabama,5,Arkansas,White,1,127
96,1,Alabama,5,Arkansas,White,2,111
97,1,Alabama,5,Arkansas,White,3,141
98,1,Alabama,5,Arkansas,White,4,158
99,1,Alabama,5,Arkansas,White,5,145
100,1,Alabama,6,California,Asian,1,20
101,1,Alabama,6,California,Asian,2,20
102,1,Alabama,6,California,Asian,3,13
103,1,Alabama,6,California,Asian,4,23
104,1,Alabama,6,California,Asian,5,30
105,1,Alabama,6,California,Black,1,487
106,1,Alabama,6,California,Black,2,349
107,1,Alabama,6,California,Black,3,127
108,1,Alabama,6,California,Black,4,76
109,1,Alabama,6,California,Black,5,62
110,1,Alabama,6,California,Hispanic,1,84
111,1,Alabama,6,California,Hispanic,2,53
112,1,Alabama,6,California,Hispanic,3,45
113,1,Alabama,6,California,Hispanic,4,34
114,1,Alabama,6,California,Hispanic,5,25
115,1,Alabama,6,California,Other,1,95
116,1,Alabama,6,California,Other,2,65
117,1,Alabama,6,California,Other,3,56
118,1,Alabama,6,California,Other,4,38
119,1,Alabama,6,California,Other,5,29
120,1,Alabama,6,California,White,1,250
121,1,Alabama,6,California,White,2,364
122,1,Alabama,6,California,White,3,516
123,1,Alabama,6,California,White,4,500
124,1,Alabama,6,California,White,5,793
125,1,Alabama,8,Colorado,Asian,1,0
126,1,Alabama,8,Colorado,Asian,2,2
